 	Spikes	 	 
Time	Value	Cmt Time	Cmt Text
s	V	s	 
718.0192	1.0	711.8868	Attention
718.02205	1.0	711.8868	Attention
718.23225	1.0	711.8868	Attention
718.2347	1.0	711.8868	Attention
718.6869	0.0	711.8868	Attention
718.68815	0.0	711.8868	Attention
718.68955	0.0	711.8868	Attention
719.54105	1.0	711.8868	Attention
719.54395	1.0	711.8868	Attention
719.7324	1.0	711.8868	Attention
719.73515	1.0	711.8868	Attention
719.73755	1.0	711.8868	Attention
719.7616	1.0	711.8868	Attention
719.9542	0.0	711.8868	Attention
719.9594	1.0	711.8868	Attention
719.98075	1.0	711.8868	Attention
720.13285	0.0	711.8868	Attention
720.13555	1.0	711.8868	Attention
720.13835	1.0	711.8868	Attention
720.156	1.0	711.8868	Attention
720.1737	1.0	711.8868	Attention
720.34385	1.0	711.8868	Attention
720.3837	0.0	711.8868	Attention
721.5835	1.0	711.8868	Attention
721.59265	1.0	711.8868	Attention
721.6207	1.0	711.8868	Attention
721.7948	1.0	711.8868	Attention
721.7974	1.0	711.8868	Attention
721.79955	1.0	711.8868	Attention
721.81985	1.0	711.8868	Attention
721.83075	1.0	711.8868	Attention
722	1.0	711.8868	Attention
722.00295	1.0	711.8868	Attention
722.0114	1.0	711.8868	Attention
722.1855	1.0	711.8868	Attention
722.1909	1.0	711.8868	Attention
722.2262	1.0	711.8868	Attention
722.3919	1.0	711.8868	Attention
722.39465	1.0	711.8868	Attention
722.3972	0.0	711.8868	Attention
722.4118	0.0	711.8868	Attention
722.43805	1.0	711.8868	Attention
726.4391	1.0	711.8868	Attention
726.8636	1.0	711.8868	Attention
727.1522	1.0	711.8868	Attention
727.35845	1.0	711.8868	Attention
727.5771	1.0	711.8868	Attention
727.7959	1.0	711.8868	Attention
727.99315	1.0	711.8868	Attention
728.6542	1.0	728.5986	Love
728.8589	1.0	728.5986	Love
729.21935	1.0	728.5986	Love
729.41195	1.0	728.5986	Love
730.78235	1.0	728.5986	Love
730.82205	1.0	728.5986	Love
730.8332	1.0	728.5986	Love
730.84265	1.0	728.5986	Love
730.85025	1.0	728.5986	Love
730.8599	1.0	728.5986	Love
730.8698	1.0	728.5986	Love
730.87915	1.0	728.5986	Love
730.8931	1.0	728.5986	Love
730.90285	1.0	728.5986	Love
730.9503	1.0	728.5986	Love
731.69645	1.0	728.5986	Love
732.07125	1.0	728.5986	Love
732.2975	1.0	728.5986	Love
732.478	1.0	728.5986	Love
732.83005	1.0	728.5986	Love
732.8595	1.0	728.5986	Love
732.92075	1.0	728.5986	Love
732.9575	1.0	728.5986	Love
732.9718	1.0	728.5986	Love
732.9791	1.0	728.5986	Love
732.99855	1.0	728.5986	Love
733.01065	1.0	728.5986	Love
733.02345	1.0	728.5986	Love
733.0367	1.0	728.5986	Love
733.05075	1.0	728.5986	Love
733.0712	1.0	728.5986	Love
733.09565	1.0	728.5986	Love
733.11625	1.0	728.5986	Love
733.1497	1.0	728.5986	Love
733.1701	1.0	728.5986	Love
733.38275	1.0	728.5986	Love
733.48985	1.0	728.5986	Love
733.50355	1.0	728.5986	Love
733.51725	1.0	728.5986	Love
733.7139	1.0	728.5986	Love
733.75615	1.0	728.5986	Love
733.81	1.0	728.5986	Love
733.8598	1.0	728.5986	Love
733.89505	1.0	728.5986	Love
733.93955	1.0	728.5986	Love
733.9728	1.0	728.5986	Love
735.5155	1.0	728.5986	Love
735.757	1.0	728.5986	Love
736.5696	1.0	728.5986	Love
736.9788	1.0	728.5986	Love
737.2025	1.0	728.5986	Love
737.49865	1.0	728.5986	Love
737.6102	1.0	728.5986	Love
737.6513	1.0	728.5986	Love
737.7389	1.0	728.5986	Love
737.75725	1.0	728.5986	Love
737.77135	1.0	728.5986	Love
737.779	1.0	728.5986	Love
737.78885	1.0	728.5986	Love
737.79715	1.0	728.5986	Love
738.07255	1.0	728.5986	Love
738.10945	1.0	728.5986	Love
738.13755	1.0	728.5986	Love
738.16185	1.0	728.5986	Love
738.21335	1.0	728.5986	Love
738.29025	1.0	728.5986	Love
